Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1985,07/13,Silver Salmon,24520,3,8,58,4,483
1985,07/13,Tuxedni Bay,24530,3,52,81,9,"2,559"
1985,07/13,West Side,24610,,8,54,3,398
1985,07/14,Cohn,24422,9,,8,10,"2,300"
1985,07/14,Little Jack Slough,24550,,,78,7,44
1985,07/14,Ninilchik,24421,25,,2,15,"1,364"
1985,07/14,Polly Creek,24540,6,4,250,9,879
1985,07/14,Silver Salmon,24520,1,7,78,15,767
1985,07/14,Tuxedni Bay,24530,17,90,254,57,"8,849"
1985,07/14,Unknown,24430,1,,3,,"1,992"
1985,07/14,West Side,24610,,18,22,9,342
1985,07/15,#3 Bay,24790,1,2,284,155,"3,510"
1985,07/15,Beluga,24730,21,11,433,466,800
1985,07/15,Birch Hill,24780,1,,72,20,"1,475"
1985,07/15,Chinitna,24510,12,207,47,47,115
1985,07/15,Cohn,24422,158,2,56,248,"26,179"
1985,07/15,East Side,24620,21,34,"1,694",137,"2,509"
1985,07/15,Fire Island,24743,1,2,66,9,202
1985,07/15,Little Jack Slough,24550,1,,494,38,229
1985,07/15,Ninilchik,24421,539,1,175,410,"24,882"
1985,07/15,Polly Creek,24540,8,14,489,53,"1,500"
1985,07/15,Pt. Possession,24770,3,6,642,163,"8,304"
1985,07/15,Silver Salmon,24520,4,22,133,13,"1,298"
1985,07/15,Susitna Flats,24741,8,2,286,136,460
1985,07/15,Trading Bay,24710,30,,493,461,885
1985,07/15,Tuxedni Bay,24530,11,77,306,50,"4,826"
1985,07/15,Tyonek,24720,10,3,295,407,696
1985,07/15,Unknown,24430,278,1,78,40,"57,757"
1985,07/15,Unknown,24440,188,2,515,592,"27,999"
1985,07/15,West Foreland,24560,6,,173,73,341
1985,07/15,West Side,24610,6,65,941,86,"2,186"
1985,07/15,,24460,142,"23,351","16,968","1,137","137,503"
1985,07/15,,24470,26,"6,753","4,571",272,"35,947"
1985,07/15,,24580,13,"4,296","3,873",202,"28,648"
1985,07/15,,24590,10,"1,471","1,431",97,"10,319"
1985,07/16,Cohn,24422,242,,45,407,"4,469"
1985,07/16,Ninilchik,24421,261,,59,404,"5,425"
1985,07/16,Polly Creek,24540,9,22,726,58,"1,501"
1985,07/16,Silver Salmon,24520,4,23,200,24,"1,178"
1985,07/16,Tuxedni Bay,24530,,22,85,8,"1,026"
1985,07/16,Unknown,24430,178,,41,52,"24,896"
1985,07/16,West Side,24610,,29,65,4,674
1985,07/17,Polly Creek,24540,2,15,521,23,878
1985,07/17,Silver Salmon,24520,,36,220,13,"1,311"
1985,07/17,Tuxedni Bay,24530,9,113,484,36,"5,983"
1985,07/17,Unknown,24430,27,,3,48,363
1985,07/17,West Side,24610,,29,58,11,611
1985,07/18,Cohn,24422,15,,4,4,30
1985,07/18,Little Jack Slough,24550,1,,259,9,62
1985,07/18,Polly Creek,24540,4,15,372,14,507
1985,07/18,Silver Salmon,24520,4,34,323,12,"1,777"
1985,07/18,Tuxedni Bay,24530,4,58,234,18,"2,300"
1985,07/18,Unknown,24430,191,1,59,444,"4,874"
1985,07/18,Unknown,24440,17,,10,10,141
1985,07/18,West Side,24610,1,6,141,8,401
1985,07/19,#3 Bay,24790,,,4,86,137
1985,07/19,Beluga,24730,6,1,26,41,27
1985,07/19,Birch Hill,24780,1,,2,25,59
1985,07/19,Chinitna,24510,,184,77,10,212
1985,07/19,Cohn,24422,168,,52,590,"2,070"
1985,07/19,East Side,24620,47,83,"3,608",157,"5,723"
1985,07/19,Fire Island,24743,,,3,,8
1985,07/19,Little Jack Slough,24550,2,,197,18,56
1985,07/19,Ninilchik,24421,421,4,259,594,"10,018"
1985,07/19,Polly Creek,24540,7,37,606,64,921
1985,07/19,Pt. Mackenzie,24742,2,,4,,
1985,07/19,Pt. Possession,24770,1,1,16,66,173
1985,07/19,Silver Salmon,24520,2,34,187,9,693
1985,07/19,Susitna Flats,24741,2,,15,10,21
1985,07/19,Trading Bay,24710,3,,84,27,46
1985,07/19,Tuxedni Bay,24530,10,147,429,24,"3,528"
1985,07/19,Tyonek,24720,9,1,50,84,79
1985,07/19,Unknown,24430,147,1,56,295,"1,714"
1985,07/19,Unknown,24440,61,1,38,389,493
1985,07/19,West Foreland,24560,,,56,9,27
1985,07/19,West Side,24610,21,12,"2,678",103,"2,915"
1985,07/19,,24460,50,"31,711","34,255","3,180","192,962"
1985,07/19,,24470,17,"12,225","13,274","1,341","75,839"
1985,07/19,,24580,9,"8,831","11,052",881,"58,110"
1985,07/19,,24590,10,"5,743","7,901",594,"36,508"
1985,07/20,Little Jack Slough,24550,,,60,2,9
1985,07/20,Polly Creek,24540,4,80,280,5,873
1985,07/20,Silver Salmon,24520,,8,93,6,429
1985,07/20,Tuxedni Bay,24530,,65,197,7,839
1985,07/20,West Side,24610,,2,53,6,134
1985,07/21,Cohn,24422,44,3,200,95,"17,069"
1985,07/21,Little Jack Slough,24550,,,62,2,33
1985,07/21,Polly Creek,24540,4,70,868,25,"1,879"
1985,07/21,Silver Salmon,24520,1,4,89,2,247
1985,07/21,Tuxedni Bay,24530,11,269,786,22,"4,054"
1985,07/21,Unknown,24430,36,5,49,11,"10,817"
1985,07/21,West Side,24610,,7,105,23,246
1985,07/22,#3 Bay,24790,,19,620,116,"4,431"
1985,07/22,Beluga,24730,26,798,"6,658","1,632","11,909"
1985,07/22,Birch Hill,24780,,6,246,47,"1,820"
1985,07/22,Chinitna,24510,,357,55,5,232
1985,07/22,Cohn,24422,208,2,595,322,"70,720"
1985,07/22,East Side,24620,9,7,"1,920",120,"1,519"
1985,07/22,Fire Island,24743,,22,247,25,878
1985,07/22,Little Jack Slough,24550,,,191,2,19
1985,07/22,Ninilchik,24421,212,,320,184,"23,828"
1985,07/22,Polly Creek,24540,,66,270,8,742
1985,07/22,Pt. Mackenzie,24742,,483,"2,024",19,"2,983"
1985,07/22,Pt. Possession,24770,,406,"2,436",308,"13,688"
1985,07/22,Silver Salmon,24520,2,18,131,4,193
1985,07/22,Susitna Flats,24741,1,649,"1,929",136,"2,868"
1985,07/22,Trading Bay,24710,13,,"1,183",187,"2,522"
1985,07/22,Tuxedni Bay,24530,3,195,477,20,"1,935"
1985,07/22,Tyonek,24720,6,265,"4,595","1,792","9,456"
1985,07/22,Unknown,24430,241,2,514,81,"82,864"
1985,07/22,West Foreland,24560,3,1,"1,050",100,"2,060"
1985,07/22,West Side,24610,,29,930,66,729
