Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1999,07/05,#3 Bay,24790,1,,,,168
1999,07/05,Big River,24555,2,,3,1,103
1999,07/05,Birch Hill,24780,,,,,68
1999,07/05,Cohn,24422,56,13,2,28,"5,772"
1999,07/05,East Side,24620,1,,2,7,136
1999,07/05,Fire Island,24743,,,1,,3
1999,07/05,Ninilchik,24421,95,1,,51,"13,814"
1999,07/05,North Blanchard,24432,16,,,,
1999,07/05,Polly Creek,24540,44,13,,15,480
1999,07/05,Pt. Mackenzie,24742,2,1,,,6
1999,07/05,Pt. Possession,24770,3,1,,1,63
1999,07/05,Silver Salmon,24520,4,,1,,56
1999,07/05,South Blanchard,24431,46,,,17,"4,174"
1999,07/05,Tuxedni Bay,24530,46,13,2,58,771
1999,07/05,Tyonek,24720,60,7,6,3,206
1999,07/05,West Foreland,24560,1,,,,8
1999,07/05,West Side,24610,2,2,3,19,325
1999,07/05,,24450,,50,2,,132
1999,07/05,,24460,18,"4,113",108,59,"28,819"
1999,07/05,,24470,8,"3,279",84,105,"29,987"
1999,07/05,,24570,,120,4,,839
1999,07/05,,24580,6,"1,512",22,13,"11,211"
1999,07/05,,24590,29,"4,367",97,51,"37,506"
1999,07/08,#3 Bay,24790,,,,,27
1999,07/08,Beluga,24730,7,47,23,,38
1999,07/08,Birch Hill,24780,1,,1,4,236
1999,07/08,Chinitna,24510,,1,,2,
1999,07/08,Cohn,24422,81,,3,41,"12,235"
1999,07/08,East Side,24620,,,,2,158
1999,07/08,Ninilchik,24421,81,1,2,64,"14,031"
1999,07/08,North Blanchard,24432,37,,,2,"2,295"
1999,07/08,North Colliers,24442,7,,2,14,"1,157"
1999,07/08,Polly Creek,24540,23,,3,,438
1999,07/08,Pt. Possession,24770,,1,3,2,299
1999,07/08,Salamantof,24441,105,2,4,13,"4,711"
1999,07/08,Silver Salmon,24520,,6,,2,8
1999,07/08,South Blanchard,24431,78,1,2,9,"12,448"
1999,07/08,Susitna Flats,24741,1,3,,,19
1999,07/08,Trading Bay,24710,4,1,34,7,47
1999,07/08,Tuxedni Bay,24530,22,24,10,52,612
1999,07/08,Tyonek,24720,5,2,41,1,253
1999,07/08,West Side,24610,,,10,8,343
1999,07/08,,24450,1,132,2,6,"2,798"
1999,07/08,,24460,43,"5,241",216,148,"93,574"
1999,07/08,,24470,6,"1,062",72,21,"13,837"
1999,07/08,,24580,12,646,41,12,"11,257"
1999,07/08,,24590,2,303,15,4,"2,647"
1999,07/09,Cohn,24422,72,,1,24,"3,618"
1999,07/09,Ninilchik,24421,63,,,34,"9,732"
1999,07/09,North Colliers,24442,1,,,,9
1999,07/09,South Blanchard,24431,58,,5,14,"3,979"
1999,07/09,Southern Corridor,24461,10,62,9,5,"2,389"
1999,07/11,Cohn,24422,73,,7,42,"3,646"
1999,07/11,Ninilchik,24421,41,,2,48,"6,386"
1999,07/11,North Blanchard,24432,2,,,,
1999,07/11,South Blanchard,24431,43,,3,7,"2,040"
1999,07/11,Southern Corridor,24461,56,173,22,44,"4,765"
1999,07/12,#3 Bay,24790,,1,,,3
1999,07/12,Beluga,24730,13,88,180,26,748
1999,07/12,Birch Hill,24780,3,,,,105
1999,07/12,Chinitna,24510,,29,,43,63
1999,07/12,Cohn,24422,175,2,2,45,"8,945"
1999,07/12,East Side,24620,1,,11,7,477
1999,07/12,Fire Island,24743,,22,13,2,165
1999,07/12,Little Jack Slough,24550,,,1,2,475
1999,07/12,Ninilchik,24421,213,4,12,136,"22,748"
1999,07/12,North Blanchard,24432,98,2,10,5,"1,627"
1999,07/12,North Colliers,24442,5,1,4,14,523
1999,07/12,Northern Corridor,24451,6,403,18,7,"3,268"
1999,07/12,Polly Creek,24540,22,,,7,485
1999,07/12,Pt. Mackenzie,24742,,158,70,,229
1999,07/12,Pt. Possession,24770,1,5,26,3,305
1999,07/12,Salamantof,24441,86,15,22,17,"1,895"
1999,07/12,Silver Salmon,24520,,,5,,28
1999,07/12,South Blanchard,24431,171,1,6,23,"9,261"
1999,07/12,Southern Corridor,24461,75,867,60,63,"27,133"
1999,07/12,Susitna Flats,24741,,,,,39
1999,07/12,Trading Bay,24710,,5,40,7,63
1999,07/12,Tuxedni Bay,24530,21,46,41,72,791
1999,07/12,Tyonek,24720,6,25,135,3,455
1999,07/12,West Foreland,24560,,,3,,6
1999,07/12,West Side,24610,1,,24,9,612
1999,07/13,Polly Creek,24540,30,2,,6,483
1999,07/13,Tuxedni Bay,24530,16,16,28,74,903
1999,07/14,Cohn,24422,104,2,7,31,"4,444"
1999,07/14,Ninilchik,24421,53,,5,71,"7,040"
1999,07/14,Polly Creek,24540,10,1,,,116
1999,07/14,Silver Salmon,24520,1,,6,,36
1999,07/14,South Blanchard,24431,38,,2,4,"2,769"
1999,07/14,Tuxedni Bay,24530,15,19,38,57,886
1999,07/15,#3 Bay,24790,2,,6,2,154
1999,07/15,Beluga,24730,21,111,272,10,"2,548"
1999,07/15,Birch Hill,24780,1,3,2,1,184
1999,07/15,Chinitna,24510,,15,5,,113
1999,07/15,Cohn,24422,167,22,12,53,"6,221"
1999,07/15,East Side,24620,4,,18,17,697
1999,07/15,Fire Island,24743,1,71,36,,483
1999,07/15,Little Jack Slough,24550,,,3,25,333
1999,07/15,Ninilchik,24421,137,1,12,162,"11,114"
1999,07/15,North Blanchard,24432,84,4,2,5,934
1999,07/15,North Colliers,24442,19,1,9,14,"1,010"
1999,07/15,Polly Creek,24540,15,1,1,8,127
1999,07/15,Pt. Mackenzie,24742,3,28,10,1,82
1999,07/15,Pt. Possession,24770,2,17,64,2,319
1999,07/15,Salamantof,24441,164,2,9,7,"3,273"
1999,07/15,Silver Salmon,24520,1,1,18,,144
1999,07/15,South Blanchard,24431,95,3,3,8,"2,652"
1999,07/15,Southern Corridor,24461,,71,5,,568
1999,07/15,Susitna Flats,24741,,65,8,1,194
1999,07/15,Trading Bay,24710,12,1,23,8,123
1999,07/15,Tuxedni Bay,24530,10,9,11,28,394
1999,07/15,Tyonek,24720,8,7,57,3,601
1999,07/15,West Foreland,24560,,,,,19
1999,07/15,West Side,24610,1,4,77,28,889
1999,07/15,,24450,,269,147,3,"2,799"
1999,07/15,,24460,10,"18,529","1,481",203,"126,441"
1999,07/15,,24470,7,"8,721",890,55,"50,024"
1999,07/15,,24570,,216,54,,"1,255"
1999,07/15,,24580,2,"6,138",457,28,"37,599"
1999,07/15,,24590,15,"14,452","1,910",106,"93,677"
1999,07/16,Silver Salmon,24520,,,17,,85
1999,07/16,Tuxedni Bay,24530,9,18,52,37,759
1999,07/17,Cohn,24422,159,6,68,58,"42,931"
1999,07/17,Ninilchik,24421,141,2,36,136,"47,477"
1999,07/17,Silver Salmon,24520,,,31,,70
1999,07/17,South Blanchard,24431,161,1,28,18,"32,639"
1999,07/17,Tuxedni Bay,24530,14,49,112,30,"1,615"
1999,07/18,Cohn,24422,114,2,24,34,"25,469"
1999,07/18,Ninilchik,24421,127,2,9,99,"12,363"
1999,07/18,Polly Creek,24540,6,15,7,9,193
1999,07/18,South Blanchard,24431,113,,40,17,"19,418"
1999,07/18,Tuxedni Bay,24530,6,48,96,31,"1,269"
1999,07/19,#3 Bay,24790,,,25,2,"1,292"
1999,07/19,Beluga,24730,10,419,"2,080",28,"9,072"
1999,07/19,Birch Hill,24780,,1,44,1,"1,051"
1999,07/19,Cohn,24422,128,4,75,122,"19,789"
1999,07/19,East Side,24620,2,4,116,45,"1,247"
1999,07/19,Fire Island,24743,1,136,199,14,"1,351"
1999,07/19,Little Jack Slough,24550,,8,22,4,"2,344"
1999,07/19,Ninilchik,24421,89,10,104,334,"21,063"
1999,07/19,North Blanchard,24432,129,,44,21,"8,693"
1999,07/19,North Colliers,24442,28,3,99,21,"12,079"
1999,07/19,Pt. Mackenzie,24742,,77,30,,388
1999,07/19,Pt. Possession,24770,1,52,313,4,"2,851"
1999,07/19,Salamantof,24441,290,5,109,26,"26,270"
1999,07/19,Silver Salmon,24520,,2,13,,66
1999,07/19,South Blanchard,24431,132,1,40,51,"11,505"
1999,07/19,Susitna Flats,24741,1,94,130,,524
1999,07/19,Trading Bay,24710,,1,109,,251
1999,07/19,Tuxedni Bay,24530,2,56,143,70,"1,632"
1999,07/19,Tyonek,24720,2,11,403,5,"2,244"
1999,07/19,West Foreland,24560,,,20,1,173
1999,07/19,West Side,24610,1,4,461,56,"3,667"
1999,07/19,,24450,1,"1,059",156,12,"7,333"
1999,07/19,,24460,21,"34,129","6,418",268,"279,938"
1999,07/19,,24470,1,"1,810",434,14,"14,780"
1999,07/19,,24570,1,454,101,3,"3,199"
1999,07/19,,24580,9,"7,759","1,716",47,"50,493"
1999,07/19,,24590,4,"4,637",947,32,"26,915"
1999,07/20,Polly Creek,24540,6,3,1,5,265
1999,07/20,Tuxedni Bay,24530,10,192,123,75,"1,943"
1999,07/21,Silver Salmon,24520,3,11,32,2,170
1999,07/21,Tuxedni Bay,24530,,70,77,26,804
1999,07/22,Chinitna,24510,1,2,,6,151
1999,07/22,Cohn,24422,53,1,26,84,"23,981"
1999,07/22,East Side,24620,,2,202,13,"2,400"
1999,07/22,Knik,24750,,,,,164
1999,07/22,Little Jack Slough,24550,,10,47,4,"3,381"
1999,07/22,Ninilchik,24421,79,,31,152,"20,659"
1999,07/22,North Blanchard,24432,120,1,7,8,"12,835"
1999,07/22,North Colliers,24442,21,8,30,97,"6,670"
1999,07/22,Northern Corridor,24451,13,426,594,77,"15,755"
1999,07/22,Polly Creek,24540,24,31,2,11,277
1999,07/22,Salamantof,24441,153,4,27,48,"23,727"
1999,07/22,Silver Salmon,24520,10,7,51,7,480
1999,07/22,South Blanchard,24431,241,1,7,44,"38,296"
1999,07/22,Southern Corridor,24461,22,702,866,156,"49,117"
1999,07/22,Tuxedni Bay,24530,5,244,187,155,"2,796"
1999,07/22,West Foreland,24560,1,2,98,2,423
1999,07/22,West Side,24610,2,10,430,38,"5,752"
1999,07/23,Chinitna,24510,,17,17,,14
1999,07/23,Silver Salmon,24520,10,3,101,,325
1999,07/24,Chinitna,24510,7,41,4,25,313
1999,07/24,Cohn,24422,99,4,124,295,"12,038"
1999,07/24,Knik,24750,,,,,169
1999,07/24,Ninilchik,24421,52,,111,261,"11,789"
1999,07/24,Silver Salmon,24520,,6,48,,136
1999,07/24,South Blanchard,24431,181,,29,100,"28,211"
1999,07/24,Tuxedni Bay,24530,6,368,248,406,"3,207"
1999,07/25,Cohn,24422,62,2,94,140,"12,902"
1999,07/25,Ninilchik,24421,41,,66,202,"9,237"
1999,07/25,South Blanchard,24431,124,,14,36,"19,566"
1999,07/25,Tuxedni Bay,24530,,94,132,52,707
1999,07/26,#3 Bay,24790,,1,65,9,"4,354"
1999,07/26,Beluga,24730,6,567,"2,909",57,"4,941"
1999,07/26,Birch Hill,24780,,56,141,2,"2,638"
1999,07/26,East Side,24620,1,5,225,13,"3,353"
1999,07/26,Fire Island,24743,1,206,131,20,711
1999,07/26,Knik,24750,,,,,219
1999,07/26,Polly Creek,24540,3,19,42,21,"5,272"
1999,07/26,Pt. Mackenzie,24742,,115,136,1,454
1999,07/26,Pt. Possession,24770,,125,293,7,"4,033"
1999,07/26,Susitna Flats,24741,,62,118,,148
1999,07/26,Trading Bay,24710,,,80,,414
1999,07/26,Tuxedni Bay,24530,2,137,204,139,"1,150"
1999,07/26,Tyonek,24720,3,51,"1,762",36,"3,655"
1999,07/26,West Foreland,24560,,,55,2,81
1999,07/26,West Side,24610,,14,127,32,"4,844"
1999,07/27,Cohn,24422,88,3,91,188,"8,914"
1999,07/27,Knik,24750,,,,,474
1999,07/27,Ninilchik,24421,22,6,89,159,"8,283"
1999,07/27,North Blanchard,24432,100,12,43,22,"7,038"
1999,07/27,North Colliers,24442,11,14,118,57,"14,023"
1999,07/27,Northern Corridor,24451,11,481,494,139,"16,674"
1999,07/27,Salamantof,24441,108,6,208,39,"36,728"
1999,07/27,South Blanchard,24431,172,10,27,54,"10,527"
1999,07/27,Southern Corridor,24461,10,347,357,136,"13,903"
1999,07/27,Tuxedni Bay,24530,,46,80,27,296
1999,07/28,Cohn,24422,63,1,17,271,"3,791"
1999,07/28,Knik,24750,,,,,549
1999,07/28,Ninilchik,24421,29,,28,266,"4,526"
1999,07/28,North Blanchard,24432,2,,,,
1999,07/28,Northern Corridor,24451,,,1,4,215
1999,07/28,Polly Creek,24540,,25,5,,92
1999,07/28,South Blanchard,24431,149,1,5,93,"7,570"
1999,07/28,Southern Corridor,24461,,3,3,13,527
1999,07/28,Tuxedni Bay,24530,,80,193,42,733
1999,07/29,Cohn,24422,40,,35,158,"5,100"
1999,07/29,East Side,24620,1,1,121,20,"1,979"
1999,07/29,Knik,24750,,,,,409
1999,07/29,Little Jack Slough,24550,,6,47,,"2,006"
1999,07/29,Ninilchik,24421,53,3,51,256,"4,757"
1999,07/29,North Blanchard,24432,79,1,14,31,"5,715"
1999,07/29,North Colliers,24442,9,9,98,70,"3,605"
1999,07/29,Northern Corridor,24451,,249,217,2,"1,283"
1999,07/29,Polly Creek,24540,1,21,4,10,92
1999,07/29,Salamantof,24441,157,3,78,61,"13,732"
1999,07/29,Silver Salmon,24520,,8,69,,53
1999,07/29,South Blanchard,24431,94,,13,72,"7,361"
1999,07/29,Southern Corridor,24461,4,437,489,9,"3,879"
1999,07/29,Tuxedni Bay,24530,6,278,379,79,"1,055"
1999,07/29,West Foreland,24560,,,21,,34
1999,07/29,West Side,24610,1,9,756,73,"5,300"
1999,07/29,,24450,3,620,384,18,"6,256"
1999,07/29,,24460,12,"17,733","15,716",476,"128,439"
1999,07/29,,24470,,522,768,12,"3,752"
1999,07/29,,24580,,"1,558","1,369",20,"8,256"
1999,07/29,,24590,,878,795,20,"4,533"
1999,07/30,Chinitna,24510,,14,19,,40
1999,07/30,Cohn,24422,55,2,105,219,"7,747"
1999,07/30,East Side,24620,,,,,260
1999,07/30,Ninilchik,24421,79,8,119,934,"7,664"
1999,07/30,North Blanchard,24432,79,1,11,11,"3,678"
1999,07/30,North Colliers,24442,,4,84,40,"2,168"
1999,07/30,Northern Corridor,24451,,16,46,9,"1,062"
1999,07/30,Salamantof,24441,134,2,78,43,"8,926"
1999,07/30,South Blanchard,24431,141,4,33,145,"11,544"
1999,07/30,Southern Corridor,24461,10,110,241,55,"5,980"
1999,07/31,Cohn,24422,56,2,28,164,"4,573"
1999,07/31,East Side,24620,,,,,221
1999,07/31,Knik,24750,,,,,"1,867"
1999,07/31,Ninilchik,24421,29,2,57,282,"2,131"
1999,07/31,Polly Creek,24540,5,17,2,7,233
1999,07/31,Silver Salmon,24520,2,17,106,,61
1999,07/31,South Blanchard,24431,104,2,254,108,"7,937"
1999,07/31,Southern Corridor,24461,14,80,120,94,"11,254"
1999,07/31,Tuxedni Bay,24530,,99,354,54,718
1999,08/01,Cohn,24422,19,6,60,54,"3,516"
1999,08/01,East Side,24620,,,,,994
1999,08/01,Ninilchik,24421,45,,71,258,"4,204"
1999,08/01,North Blanchard,24432,51,,39,11,"4,495"
1999,08/01,North Colliers,24442,6,11,145,26,"3,524"
1999,08/01,Northern Corridor,24451,5,148,537,27,"6,937"
1999,08/01,Salamantof,24441,86,2,209,31,"14,439"
1999,08/01,South Blanchard,24431,39,1,65,31,"7,481"
1999,08/01,Southern Corridor,24461,10,277,778,68,"17,225"
1999,08/02,#3 Bay,24790,,,15,16,475
1999,08/02,Beluga,24730,2,194,"2,176",74,"1,087"
1999,08/02,Birch Hill,24780,,2,110,6,183
1999,08/02,Cohn,24422,23,2,79,84,"4,346"
1999,08/02,East Side,24620,,10,930,32,"3,366"
1999,08/02,Fire Island,24743,,264,630,74,610
1999,08/02,Knik,24750,,,,,"1,475"
1999,08/02,Little Jack Slough,24550,,45,113,,"2,339"
1999,08/02,Ninilchik,24421,72,3,161,414,"6,407"
1999,08/02,North Blanchard,24432,85,,61,19,"5,756"
1999,08/02,North Colliers,24442,3,10,108,29,"2,495"
1999,08/02,Pt. Mackenzie,24742,1,136,85,6,263
1999,08/02,Pt. Possession,24770,,19,535,21,436
1999,08/02,Salamantof,24441,151,5,233,30,"11,763"
1999,08/02,South Blanchard,24431,115,2,122,65,"11,719"
1999,08/02,Southern Corridor,24461,1,87,75,7,808
1999,08/02,Susitna Flats,24741,,192,159,11,164
1999,08/02,Trading Bay,24710,,,359,,375
1999,08/02,Tuxedni Bay,24530,2,165,427,141,422
1999,08/02,Tyonek,24720,1,28,"2,337",28,"1,251"
1999,08/02,West Foreland,24560,,,252,5,112
1999,08/02,West Side,24610,,12,"2,501",109,"5,917"
1999,08/02,,24450,,"1,087","1,155",38,"6,436"
1999,08/02,,24460,9,"8,974","10,690",322,"52,563"
1999,08/02,,24470,,167,170,6,504
1999,08/02,,24580,,829,876,10,"3,655"
1999,08/02,,24590,,368,528,41,"1,808"
1999,08/03,Cohn,24422,14,4,242,82,"4,694"
1999,08/03,East Side,24620,,,,,"1,479"
1999,08/03,Ninilchik,24421,64,1,147,304,"5,820"
1999,08/03,North Blanchard,24432,92,,58,9,"3,950"
1999,08/03,North Colliers,24442,5,7,134,34,"2,224"
1999,08/03,Northern Corridor,24451,2,43,127,14,"2,169"
1999,08/03,Salamantof,24441,76,3,112,16,"5,414"
1999,08/03,South Blanchard,24431,73,1,46,35,"6,450"
1999,08/03,Southern Corridor,24461,2,74,172,21,"4,264"
1999,08/04,Cohn,24422,37,4,320,52,"4,554"
1999,08/04,East Side,24620,,,,,603
1999,08/04,Knik,24750,,,,,"1,768"
1999,08/04,Ninilchik,24421,32,2,177,146,"3,234"
1999,08/04,North Blanchard,24432,51,1,233,10,"3,875"
1999,08/04,North Colliers,24442,2,6,165,33,"1,459"
1999,08/04,Northern Corridor,24451,1,30,176,11,854
1999,08/04,Salamantof,24441,72,4,213,22,"4,143"
1999,08/04,South Blanchard,24431,75,2,200,27,"7,353"
1999,08/04,Southern Corridor,24461,6,285,909,62,"6,723"
1999,08/05,#3 Bay,24790,,,7,,33
1999,08/05,Beluga,24730,1,160,891,11,251
1999,08/05,Birch Hill,24780,,1,24,,48
1999,08/05,Cohn,24422,60,8,745,59,"6,725"
1999,08/05,East Side,24620,,4,528,2,"2,052"
1999,08/05,Fire Island,24743,1,84,769,17,251
1999,08/05,Little Jack Slough,24550,,4,20,,468
1999,08/05,Ninilchik,24421,70,1,383,132,"4,555"
1999,08/05,North Blanchard,24432,51,,127,2,"2,830"
1999,08/05,North Colliers,24442,4,13,497,29,"1,469"
1999,08/05,Northern Corridor,24451,,21,12,3,133
1999,08/05,Pt. Mackenzie,24742,,,210,,67
1999,08/05,Pt. Possession,24770,,2,148,1,91
1999,08/05,Salamantof,24441,73,12,561,20,"5,044"
1999,08/05,Silver Salmon,24520,,2,36,,6
1999,08/05,South Blanchard,24431,42,,144,5,"3,509"
1999,08/05,Southern Corridor,24461,,110,132,3,273
1999,08/05,Susitna Flats,24741,,58,425,4,154
1999,08/05,Trading Bay,24710,,9,511,4,103
1999,08/05,Tuxedni Bay,24530,1,341,396,52,118
1999,08/05,Tyonek,24720,1,27,"1,545",2,491
1999,08/05,West Foreland,24560,,,152,1,114
1999,08/05,West Side,24610,1,18,729,21,"3,326"
1999,08/05,,24450,1,655,"1,129",25,"1,678"
1999,08/05,,24460,8,"3,418","5,015",103,"12,773"
1999,08/05,,24470,,130,129,2,551
1999,08/05,,24570,,146,"1,070",7,355
1999,08/05,,24580,,161,198,3,177
1999,08/05,,24590,,20,19,,65
1999,08/06,Knik,24750,,,,,344
1999,08/08,East Side,24620,,,,,553
1999,08/09,#3 Bay,24790,,,152,2,352
1999,08/09,Beluga,24730,,2,78,,11
1999,08/09,Birch Hill,24780,1,3,136,1,81
1999,08/09,Cohn,24422,32,6,515,20,"1,516"
1999,08/09,East Side,24620,,1,455,17,"1,328"
1999,08/09,Fire Island,24743,,38,691,6,333
1999,08/09,Little Jack Slough,24550,,27,363,,"1,143"
1999,08/09,Ninilchik,24421,15,7,273,32,968
1999,08/09,North Blanchard,24432,27,1,122,1,581
1999,08/09,North Colliers,24442,2,2,112,10,534
1999,08/09,Pt. Mackenzie,24742,,7,402,,24
1999,08/09,Pt. Possession,24770,,43,307,5,88
1999,08/09,Salamantof,24441,38,2,466,6,"2,501"
1999,08/09,South Blanchard,24431,47,4,235,6,890
1999,08/09,Susitna Flats,24741,1,13,208,1,37
1999,08/09,Tuxedni Bay,24530,2,213,512,35,133
1999,08/09,Tyonek,24720,,5,850,10,238
1999,08/09,West Foreland,24560,,,80,,8
1999,08/09,West Side,24610,,2,945,39,"3,461"
1999,08/09,,24450,,154,656,7,528
1999,08/09,,24460,6,359,848,26,"1,605"
1999,08/09,,24470,,77,56,,199
1999,08/09,,24570,,14,"1,308",2,169
1999,08/09,,24580,,6,30,2,33
1999,08/09,,24590,,9,22,,26
1999,08/10,Knik,24750,,,,,"2,262"
1999,08/10,Salamantof,24441,,,,,200
1999,08/12,#3 Bay,24790,,,154,4,194
1999,08/12,Birch Hill,24780,,,29,,43
1999,08/12,Cohn,24422,15,1,324,8,"1,288"
1999,08/12,East Side,24620,,,110,1,382
1999,08/12,Fire Island,24743,,1,134,,28
1999,08/12,Knik,24750,,,,,"1,047"
1999,08/12,Little Jack Slough,24550,,12,254,,575
1999,08/12,Ninilchik,24421,10,1,296,3,"1,464"
1999,08/12,North Blanchard,24432,10,1,105,,497
1999,08/12,North Colliers,24442,,1,114,1,229
1999,08/12,Pt. Mackenzie,24742,,,139,,26
1999,08/12,Pt. Possession,24770,,6,343,5,229
1999,08/12,Salamantof,24441,28,,223,4,"1,502"
1999,08/12,South Blanchard,24431,27,,201,1,690
1999,08/12,Susitna Flats,24741,,6,137,,11
1999,08/12,Tuxedni Bay,24530,,72,190,6,48
1999,08/12,Tyonek,24720,,3,315,3,125
1999,08/12,West Side,24610,1,6,443,7,"2,375"
1999,08/13,East Side,24620,,,,,"1,811"
1999,08/14,East Side,24620,,,,,882
1999,08/14,Knik,24750,,,,,941
1999,08/15,East Side,24620,,,,,296
1999,08/16,#3 Bay,24790,,,120,1,99
1999,08/16,Birch Hill,24780,,,151,,31
1999,08/16,East Side,24620,,6,270,,"1,041"
1999,08/16,Little Jack Slough,24550,,,113,1,224
1999,08/16,Pt. Mackenzie,24742,,,111,,6
1999,08/16,Pt. Possession,24770,1,1,135,,29
1999,08/16,Susitna Flats,24741,,13,86,,2
1999,08/16,Tuxedni Bay,24530,,164,48,,28
1999,08/16,Tyonek,24720,,15,473,2,180
1999,08/16,West Foreland,24560,,1,12,,28
1999,08/16,West Side,24610,1,31,919,5,"2,023"
1999,08/17,East Side,24620,,,,,286
1999,08/17,Knik,24750,,,,,908
1999,08/18,East Side,24620,,,,,912
1999,08/19,#3 Bay,24790,,5,384,,91
1999,08/19,Birch Hill,24780,,2,429,,50
1999,08/19,East Side,24620,,,25,,222
1999,08/19,Pt. Possession,24770,,,272,,26
1999,08/19,Tyonek,24720,,,224,,35
1999,08/19,West Side,24610,,2,66,,243
1999,08/20,Knik,24750,,,,,224
1999,08/23,#3 Bay,24790,,1,710,,24
1999,08/23,Birch Hill,24780,,1,558,,16
1999,08/23,East Side,24620,,,41,,463
1999,08/23,Pt. Possession,24770,,1,117,,16
1999,08/23,Salamantof,24441,,,,,158
1999,08/23,Silver Salmon,24520,,,102,,142
1999,08/23,Tuxedni Bay,24530,,38,108,,8
1999,08/23,Tyonek,24720,,,551,,45
1999,08/23,West Foreland,24560,,,38,,4
1999,08/23,West Side,24610,,1,72,,444
1999,08/25,East Side,24620,,,,,594
1999,08/26,#3 Bay,24790,,2,280,1,18
1999,08/26,Birch Hill,24780,,,271,,14
1999,08/26,East Side,24620,,2,59,1,599
1999,08/26,Pt. Possession,24770,,1,134,,21
1999,08/26,Tuxedni Bay,24530,,36,114,,2
1999,08/26,Tyonek,24720,,,263,,28
1999,08/26,West Side,24610,,,14,,51
1999,08/27,East Side,24620,,,,,303
1999,08/30,#3 Bay,24790,,,162,,16
1999,08/30,Birch Hill,24780,,1,233,,5
1999,08/30,Chinitna,24510,,10,12,,
1999,08/30,East Side,24620,,,,,306
1999,08/30,Pt. Possession,24770,,2,124,,19
1999,08/30,Tuxedni Bay,24530,,13,77,,2
1999,08/30,Tyonek,24720,,2,109,,22
1999,08/30,West Side,24610,,1,133,,78
1999,09/02,#3 Bay,24790,1,,91,1,20
1999,09/02,Birch Hill,24780,,,61,,4
1999,09/02,Pt. Possession,24770,,,60,,4
1999,09/02,West Side,24610,,,19,,63
1999,09/06,#3 Bay,24790,,,95,,1
1999,09/06,Birch Hill,24780,,,149,,3
1999,09/06,Pt. Possession,24770,,,33,,13
1999,09/06,West Side,24610,,,,,13
1999,09/09,#3 Bay,24790,,,43,,2
1999,09/09,Birch Hill,24780,,,41,,
1999,09/09,Pt. Possession,24770,,,64,,
1999,09/13,Pt. Possession,24770,,,30,,1
1999,09/16,Pt. Possession,24770,,,46,,
2000,06/02,Big River,24555,56,,,,224
2000,06/05,#3 Bay,24790,21,,,,61
2000,06/05,Beluga,24730,282,,,,2
2000,06/05,Big River,24555,182,,,,485
2000,06/05,Birch Hill,24780,30,,,,25
2000,06/05,Fire Island,24743,70,,,,6
2000,06/05,Pt. Mackenzie,24742,34,,,,
2000,06/05,Pt. Possession,24770,62,,,,28
2000,06/05,Susitna Flats,24741,54,,,,
2000,06/05,Trading Bay,24710,193,,,,18
2000,06/05,Tyonek,24720,271,,,,5
2000,06/07,Big River,24555,80,,,,473
2000,06/09,Big River,24555,197,,,,414
2000,06/12,#3 Bay,24790,1,,,,50
2000,06/12,Beluga,24730,53,,,,5
2000,06/12,Big River,24555,174,,,,379
2000,06/12,Fire Island,24743,7,,,,1
2000,06/12,Pt. Mackenzie,24742,28,,,,
2000,06/12,Pt. Possession,24770,28,,,,18
2000,06/12,Susitna Flats,24741,18,,,,
2000,06/12,Trading Bay,24710,221,,,,20
2000,06/12,Tyonek,24720,467,,,,9
2000,06/14,Big River,24555,41,,,,155
2000,06/16,Big River,24555,44,,,,339
2000,06/19,#3 Bay,24790,4,,,,26
2000,06/19,Big River,24555,,,,,41
2000,06/19,Birch Hill,24780,7,,,,3
2000,06/19,Fire Island,24743,4,,,,
2000,06/19,Pt. Mackenzie,24742,4,,,,
2000,06/19,Pt. Possession,24770,6,1,,,3
2000,06/19,Trading Bay,24710,39,,,,14
2000,06/19,Tyonek,24720,142,,,,9
2000,06/22,Tuxedni Bay,24530,31,1,1,,724
2000,06/26,#3 Bay,24790,5,,,,291
2000,06/26,Birch Hill,24780,2,,,,29
2000,06/26,East Side,24620,5,,1,,"1,001"
2000,06/26,Pt. Possession,24770,11,,,,102
2000,06/26,Tuxedni Bay,24530,39,2,,,"1,203"
2000,06/26,Tyonek,24720,66,,1,,165
2000,06/26,West Side,24610,11,,9,,"3,722"
2000,06/26,,24450,,5,3,,270
2000,06/26,,24460,11,146,55,3,"4,194"
2000,06/26,,24470,3,75,34,,"2,527"
2000,06/26,,24570,,94,183,10,318
2000,06/26,,24580,2,26,17,,"1,153"
2000,06/26,,24590,6,103,45,4,"3,397"
2000,06/29,#3 Bay,24790,3,,3,,553
2000,06/29,Birch Hill,24780,1,,,1,118
2000,06/29,East Side,24620,1,,2,,601
2000,06/29,Knik,24750,,,,,43
2000,06/29,Pt. Mackenzie,24742,,1,7,,53
2000,06/29,Pt. Possession,24770,10,,1,,391
2000,06/29,Trading Bay,24710,42,,,,
2000,06/29,Tuxedni Bay,24530,23,1,5,1,"2,122"
